category,name,producer,price,barcode,url
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ZERO ΧΩΡΙΣ ΚΑΦΕΙΝΗ 6 X 330 ML,COCA COLA- ZERO,"3,90",4142563,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-ZERO-ChORIS-KAFEINI-6-X-330-ML/p/7137116
Κάβα,ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ 6 X 1.5 LT,ΘΕΩΝΗ,"1,62",4125651,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/FYSIKO-METALLIKO-NERO-6-X-1-5-LT/p/7224092
Κάβα,ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ  12 Χ 500 ML,ΖΑΓΟΡΙ,"1,80",4120682,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/FYSIKO-METALLIKO-NERO-12-Ch-500-ML/p/7102090
Κάβα,ΑΝΑΨΥΚΤΙΚΟ  150 ML,COCA COLA,"0,56",4140252,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-150-ML/p/7092465
Κάβα,"ΑΝΑΨΥΚΤΙΚΟ COLA 2 X 1,5 LT",COCA COLA,"3,10",4141801,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-COLA-2-X-1-5-LT/p/7092456
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ΠΟΡΤΟΚΑΛΑΔΑ ΧΩΡΙΣ ΖΑΧΑΡΗ 5 LT,HBH,"1,30",4142578,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Portokalada/ANAPsYKTIKO-PORTOKALADA-ChORIS-ZAChARI-5-LT/p/7139068
Κάβα,ΑΝΑΨΥΚΤΙΚΟ COLA ZERO ΧΩΡΙΣ 330 ML,COCA COLA- ZERO,"0,65",4142438,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-COLA-ZERO-ChORIS-330-ML/p/7104639
Κάβα,ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ ΜΠΛΟΥΜ 6 Χ 330 ML,ΑΥΡΑ,"1,38",4120051,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/FYSIKO-METALLIKO-NERO-MPLOYM-6-Ch-330-ML/p/7092123
Κάβα,ICE TEA ΠΡΑΣΙΝΟ ΛΕΜΟΝΙ ΧΩΡΙΣ ΖΑΧΑΡΗ 5 LT,LIPTON,"2,56",4170482,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/ICE-TEA-PRASINO-LEMONI-ChORIS-ZAChARI-5-LT/p/7104545
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ 750 ML,ΚΑΝΕΝΑΣ,"13,35",4021258,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-750-ML/p/7102855
Κάβα,ΣΟΔΑ ΦΙΑΛΗ 330 ML,ΛΟΥΞ,"0,44",4156076,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Soda-Tonik-Mixers/SODA-FIALI-330-ML/p/7092831
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ΓΚΑΖΟΖΑ ΚΟΥΤΙ 330 ML,ΛΟΥΞ,"0,50",4142464,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Gkazoza/ANAPsYKTIKO-GKAZOZA-KOYTI-330-ML/p/7092100
Κάβα,ΟΙΝΟΣ ΡΟΖΕ ΚΟΚΚΙΝΕΛΙ 1 LT,ΤΟ ΚΡΑΣΙ ΤΗΣ ΠΑΡΕΑΣ,"2,62",4010014,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Krasia-roze/OINOS-ROZE-KOKKINELI-1-LT/p/7091125
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ ΠΟΛΥΠΟΙΚΙΛΙΑΚΟΣ 750 ML,ΚΤΗΜΑ ΧΑΤΖΗΜΙΧΑΛΗ- ΠΟΛΥΠΟΙΚΙΛΙΑΚΟΣ,"8,85",4021245,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-POLYPOIKILIAKOS-750-ML/p/7091049
Κάβα,ΟΥΖΟ  700 ML,ΟΥΖΟ 12,"8,95",4060031,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Pota/Oyzo/OYZO-700-ML/p/7091232
Κάβα,ΑΝΘΡΑΚΟΥΧΟ ΝΕΡΟ ΜΕ JUICE ΦΡΑΟΥΛΑ ΚΑΙ ΑΚΤΙΝΙΔΙΟ 4 X 250 ML,PERRIER,"3,92",4120396,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Soda-Tonik-Mixers/ANThRAKOYChO-NERO-ME-JUICE-FRAOYLA-KAI-AKTINIDIO-4-X-250-ML/p/7487348
Κάβα,"ΟΙΝΟΣ ΛΕΥΚΟΣ  1,5 LT",ΜΠΑΡΜΠΑΣΑΙΝΑ,"3,63",4000534,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Leyka-krasia/OINOS-LEYKOS-1-5-LT/p/7090832
Κάβα,ΟΙΝΟΣ ΛΕΥΚΟΣ ΜΑΚΕΔΟΝΙΚΟΣ 750 ML,ΑΒ,"4,03",4000771,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Leyka-krasia/OINOS-LEYKOS-MAKEDONIKOS-750-ML/p/7087788
